recipe_name,recipe_id,tags,cooking_tags,wattage,popularity,preparation_time,n_ingredients,n_grown_ingredients,ingredients,plants,link
Tian with eggplant,0,vegan,oven,3000W,2,80,8,4,"fresh italian herbs, garlic, olive oil, salt, pepper, eggplant, zucchini, tomato","garlic, eggplant, zucchini, tomato",https://www.ah.nl/allerhande/recept/R-R1190922/tian-met-aubergine-courgette-en-tomaat
Stewed zucchini,1,"vegetarian, italian, stewed",stove,2500W,2,20,5,4,"zucchini, basil, garlic, olive oil, tomato","zucchini, basil, garlic, tomato",https://www.ah.nl/allerhande/recept/R-R839514/gestoofde-courgette
Spaghetti with zucchini and tomato-ham sauce,2,italian,stove,2500W,2,20,6,2,"pasta, zucchini ham, olive oil, garlic, pasta sauce","zucchini, garlic",https://www.ah.nl/allerhande/recept/R-R392242/spaghetti-met-courgette-en-tomaten-hamsaus
Spinach lasagna,3,"vegetarian, italian",oven,3000W,2,35,6,2,"olive oil, spinach, garlic, pasta sauce, pasta, grated cheese","spinach, garlic",https://www.ah.nl/allerhande/recept/R-R660056/spinazielasagne
"Zucchini, beetroot and spinach",4,vegetarian,oven,3000W,2,35,7,4,"zucchini, olive oil, beetroot, white wine vinegar, onion, spinach, raisin","zucchini, beetroot, onion, spinach",https://www.ah.nl/allerhande/recept/R-R749532/courgette-biet-en-spinazie
Beetroot risotto,5,vegetarian,stove,2500W,3,30,7,3,"onion, olive oil, risotto rice, vegetable stock, beetroot, white cheese, spinach","onion, beetroot, spinach",https://www.ah.nl/allerhande/recept/R-R749446/bietenrisotto
Roasted eggplant,6,vegetarian,oven,3000W,3,40,7,4,"eggplant, garlic, basil, olive oil, tomato, dried oregano, grated cheese","eggplant, garlic, basil, tomato",https://www.ah.nl/allerhande/recept/R-R839508/aubergine-uit-de-oven
Tomato soup with basil,7,"vegetarian, italian",stove,2500W,3,30,7,4,"onion, garlic, olive oil, tomato, paprika, basil, vegetable stock","onion, garlic, tomato, basil",https://www.ah.nl/allerhande/recept/R-R1188855/tomatensoep-met-basilicum
Stir-fried spinach with carrot,8,vegetarian,stove,2500W,1,15,6,3,"olive oil, onion, paprika , carrot, spinach, pine nuts","onion, carrot, spinach",https://www.ah.nl/allerhande/recept/R-R545318/roergebakken-spinazie-met-wortel
Spicy carrot soup,9,vegetarian,stove,2500W,1,25,7,4,"garlic, onion, fresh ginger, olive oil, sambal, vegetable stock, carrot","garlic, onion, carrot, fresh ginger",https://www.ah.nl/allerhande/recept/R-R689128/spicy-wortelsoep
Penne with carrot-tomato sauce,10,vegetarian,stove,2500W,4,25,8,4,"carrot, onion, garlic, pepper, olive oil, pasta, tomato, sundried tomato","carrot, onion, garlic, tomato",https://www.ah.nl/allerhande/recept/R-R689066/penne-met-wortel-tomatensaus
Stuffed bell peppers with white cheese and paprika sauce,11,"vegetarian, mediterranean, oven",oven,3000W,4,55,7,3,"bell pepper, garlic, spring onion, paprika, olive oil, white chees, dried oregano","bell pepper, garlic, spring onion",https://www.ah.nl/allerhande/recept/R-R484570/gevulde-paprika-s-met-witte-kaas-en-paprikasaus
Stewed bell pepper,12,"vegetarian, italian, stewing",stove,2500W,1,60,9,5,"basil, onion, garlic, bell pepper, anchovies, olive oil, white wine, bay leaves, tomato","basil, onion, garlic, bell pepper, tomato",https://www.ah.nl/allerhande/recept/R-R961582/gestoofde-paprika
Stuffed chicken with bell peppers and rice,13,traybake,stove,2500W,1,30,7,3,"onion, rice, butter, olive oil, chicken, bell peper, carrot","onion, paprika, carrot",https://www.ah.nl/allerhande/recept/R-R573160/gevulde-kip-met-paprika-en-rijst
Pasta bake with minced meat and zucchini,14,"italian, oven",oven,3000W,6,55,8,3,"onion, zucchini, tomato, pasta, olive oil, minced meat, pasta sauce, mozzarella","onion, zucchini, tomato",https://www.ah.nl/allerhande/recept/R-R657508/ovenpasta-met-gehakt-en-courgette
Tomato and zucchini,15,"vegetarian, italian, oven",oven,3000W,1,35,6,2,"tomato, zucchini, dried oregano, olive oil, balsamic vinegar, permesan","tomato, zucchini",https://www.ah.nl/allerhande/recept/R-R839662/trostomaat-en-courgette
Star soup,16,vegetarian,stove,2500W,1,35,12,8,"bell pepper, spring onion, carrot, celery, zucchini, garlic, olive oil, ras el hanout, chickpeas, tomato, vermicelli, parsley","bell pepper, spring onion, carrot, celery, zucchini, garlic, tomato, parsley",https://www.ah.nl/allerhande/recept/R-R1194313/sterrensoep
Eggplant with spring onion,17,"vegetarian, mediterranean, grilling",stove,2500W,7,35,7,4,"eggplant, salt, spring onion, olive oil, mint, coriander, lemon","eggplant, spring onion, mint, coriander",https://www.ah.nl/allerhande/recept/R-R830836/aubergine-met-bosui
Eggplant stew with celery,18,"vegetarian, mediterranean, stewed",stove,2500W,7,30,11,5,"onion, olive oil, eggplant, celery, pine nuts, tomato, white wine vinegar, sugar, capers, olives, basil","onion, eggplant, celery, tomato, basil",https://www.ah.nl/allerhande/recept/R-R361530/auberginestoofpotje-met-bleekselderij
Zucchini curry,19,"vegetarian, vegan, Indian, Asian",stove,2500W,1,40,10,7,"zucchini, olive oil, onion, fresh ginger, garlic, cinnamon stick, cumin seeds, red pepper, tomato, fresh coriander","zucchini, onion, garlic, red pepper, tomato, coriander, fresh ginger",https://www.ah.nl/allerhande/recept/R-R660126/curry-van-courgette
Spinach with red pepper,20,"vegetarian, stir-frying/ woks",stove,2500W,7,15,6,4,"tomato, olive oil, garlic, red pepper, spinach, sweet soy sauce","tomato, garlic, red pepper, spinach",https://www.ah.nl/allerhande/recept/R-R545314/spinazie-met-rode-peper-en-tomaat
Pasta with red pepper,21,"vegan, italian, stewing",stove,2500W,1,25,5,3,"pasta, onion, red pepper, tomato, olive oil","onion, red pepper, tomato",https://www.ah.nl/allerhande/recept/R-R524762/pasta-met-rode-peper
Carrots with fresh ginger,22,"vegetarian, baking",oven,3000W,1,10,5,2,"wortel, boter, honing, verse gember, sesamzaad","carrot, fresh ginger",https://www.ah.nl/allerhande/recept/R-R422010/worteltjes-met-verse-gember
Coriander rice,23,"vegetarian, mexican",stove,2500W,3,30,6,3,"onion, coriander, parsley, olive oil, rice, vegetable stock","onion, coriander, parsley",https://www.ah.nl/allerhande/recept/R-R704296/korianderrijst
Eggplant puree with coriander,24,"vegetarian, Mediterranean, oven",oven,3000W,3,60,7,3,"eggplant, garlic, cumin, sesame seeds, olive oil, coriander, shawarma rolls","eggplant, garlic, coriander",https://www.ah.nl/allerhande/recept/R-R361526/auberginepuree-met-koriander
Dahl with spinach,25,"vegetarian, Asian, Indian",stove,2500W,1,40,14,8,"red lentils, turmeric, tomato, water, onion, garlic, red pepper, fresh ginger, coriander, olive oil, garam masala, cumin, mustard seeds, spinach","onion, garlic, red pepper, coriander, spinach, tomato, coriander, fresh ginger",https://www.ah.nl/allerhande/recept/R-R1185828/dahl-met-spinazie
